State Code,County Code,Latitude,Longitude,Date Local,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,AQI
06,061,38.93767,-121.10492099999999,2000-01-01,NA,NA,California,Placer,Auburn,NA,NA,Parts per million,0.02927263776448942,NA,NA,39
06,063,39.939567,-120.944376,2000-01-03,NA,NA,California,Plumas,Quincy,NA,NA,Parts per million,0.03238116801619433,NA,NA,32
02,068,63.723200000000006,-148.9676,2000-01-01,NA,NA,Alaska,Denali,Not in a city,NA,NA,Parts per million,0.02719159726027397,NA,NA,30
06,069,36.843424999999996,-121.36210000000001,2000-01-01,NA,NA,California,San Benito,Hollister,NA,NA,Parts per million,0.03190855423476969,NA,NA,28
01,073,33.553056,-86.815,2000-02-29,NA,NA,Alabama,Jefferson,Birmingham,NA,NA,Parts per million,0.02916578416699488,NA,NA,18.666666666666668
06,077,37.906869,-121.148275,2000-01-01,NA,NA,California,San Joaquin,Stockton,NA,NA,Parts per million,0.02985676413525499,NA,NA,28.666666666666668
01,079,34.342904,-87.33973,2000-02-29,NA,NA,Alabama,Lawrence,Moulton,NA,NA,Parts per million,0.029641313679704222,NA,NA,20.333333333333332
12,086,25.924539,-80.448388,2000-01-01,NA,NA,Florida,Miami-Dade,Not in a city,NA,NA,Parts per million,0.02763416171389081,NA,NA,16.666666666666668
18,091,41.717762,-86.907786,2000-03-31,NA,NA,Indiana,LaPorte,Michigan City,NA,NA,Parts per million,0.032541583035258045,NA,NA,20
06,093,41.726892,-122.633579,2000-01-01,NA,NA,California,Siskiyou,Yreka,NA,NA,Parts per million,0.02905209414556962,NA,NA,19
06,095,38.2455,-122.05390000000001,2000-03-31,NA,NA,California,Solano,Fairfield,NA,NA,Parts per million,0.028981176896207585,NA,NA,24.333333333333332
01,097,30.770180999999997,-88.087761,2000-02-29,NA,NA,Alabama,Mobile,Chickasaw,NA,NA,Parts per million,0.029184290247316846,NA,NA,11
01,101,32.412811,-86.26339399999999,2000-02-29,NA,NA,Alabama,Montgomery,Montgomery,NA,NA,Parts per million,0.029491639563606422,NA,NA,23.333333333333332
01,103,34.530716999999996,-86.967536,2000-04-30,NA,NA,Alabama,Morgan,Decatur,NA,NA,Parts per million,0.030650655284552845,NA,NA,18
12,105,27.939746,-82.000084,2000-01-01,NA,NA,Florida,Polk,Lakeland,NA,NA,Parts per million,0.031416658040665436,NA,NA,30
06,107,36.566128,-118.77770000000001,2000-01-01,NA,NA,California,Tulare,Not in a city,NA,NA,Parts per million,0.038945216885007274,NA,NA,27
06,111,34.398607999999996,-118.824817,2000-01-01,NA,NA,California,Ventura,Piru,NA,NA,Parts per million,0.02924133167495854,NA,NA,11
12,115,27.307267999999997,-82.570376,2000-01-01,NA,NA,Florida,Sarasota,Sarasota,NA,NA,Parts per million,0.030301754128440366,Parts per billion,3.4930096176633443,18
01,117,33.317142,-86.82575399999999,2000-02-29,NA,NA,Alabama,Shelby,Helena,NA,NA,Parts per million,0.03325902479692176,NA,NA,24.333333333333332
01,119,32.36401,-88.201865,2000-02-29,NA,NA,Alabama,Sumter,Not in a city,NA,NA,Parts per million,0.02994972366487016,NA,NA,21
13,121,33.720742,-84.357316,2000-02-29,NA,NA,Georgia,Fulton,Atlanta,NA,NA,Parts per million,0.0331008021726701,NA,NA,12.666666666666666
26,125,42.463063,-83.183199,2000-04-03,NA,NA,Michigan,Oakland,Oak Park,NA,NA,Parts per million,0.03229610567823344,NA,NA,32.333333333333336
12,127,29.109150999999997,-80.99366599999999,2000-01-01,NA,NA,Florida,Volusia,Port Orange,NA,NA,Parts per million,0.03213185283687943,NA,NA,22.333333333333332
18,129,38.006409999999995,-87.71835399999999,2000-03-31,NA,NA,Indiana,Posey,Not in a city,NA,NA,Parts per million,0.03190677201447527,NA,NA,40.666666666666664
37,131,36.48438,-77.61998,2000-04-01,NA,NA,North Carolina,Northampton,Not in a city,NA,NA,Parts per million,0.03334638847117794,NA,NA,28.5
39,133,41.182466,-81.330486,2000-03-31,NA,NA,Ohio,Portage,Not in a city,NA,NA,Parts per million,0.03170615537190082,NA,NA,15
13,135,33.9632,-84.0691,2000-02-29,NA,NA,Georgia,Gwinnett,Not in a city,NA,NA,Parts per million,0.033503527472527474,NA,NA,3
27,137,48.41252,-92.829225,2000-01-01,NA,NA,Minnesota,Saint Louis,Not in a city,NA,NA,Parts per million,0.035878133815551536,NA,NA,17.5
21,139,37.155392,-88.394024,2000-02-29,NA,NA,Kentucky,Livingston,Not in a city,NA,NA,Parts per million,0.03634748644892286,NA,NA,8.666666666666666
18,141,41.551666999999995,-86.370556,2000-03-31,NA,NA,Indiana,St. Joseph,Not in a city,NA,NA,Parts per million,0.03140950051564111,NA,NA,17.333333333333332
17,143,40.687419999999996,-89.606943,2000-01-01,NA,NA,Illinois,Peoria,Peoria,NA,NA,Parts per million,0.028687315966386552,Parts per billion,5.202343765510949,57.333333333333336
18,145,39.613367,-85.87066899999999,2000-03-31,NA,NA,Indiana,Shelby,Not in a city,NA,NA,Parts per million,0.03577814482029598,NA,NA,17.666666666666668
19,147,43.123704,-94.693518,2000-03-31,NA,NA,Iowa,Palo Alto,Emmetsburg,NA,NA,Parts per million,0.03341583298969072,NA,NA,22.333333333333332
21,149,37.606435,-87.25388799999999,2000-02-29,NA,NA,Kentucky,McLean,Not in a city,NA,NA,Parts per million,0.03560078875171468,NA,NA,39
13,151,33.433949,-84.161811,2000-02-29,NA,NA,Georgia,Henry,McDonough,NA,NA,Parts per million,0.03443616561085973,NA,NA,19
19,153,41.607766999999996,-93.57216,2000-03-31,NA,NA,Iowa,Polk,Des Moines,NA,NA,Parts per million,0.0292541552,NA,NA,25.666666666666668
39,155,41.259406999999996,-80.666231,2000-03-31,NA,NA,Ohio,Trumbull,Vienna Center,NA,NA,Parts per million,0.046019633534136545,NA,NA,19
17,157,38.176277999999996,-89.78845899999999,2000-01-01,NA,NA,Illinois,Randolph,Not in a city,NA,NA,Parts per million,0.03428711454673226,Parts per billion,4.507619440781797,25.333333333333332
37,159,35.551868,-80.395039,2000-03-31,NA,NA,North Carolina,Rowan,Rockwell,NA,NA,Parts per million,0.039012642352941176,NA,NA,3
17,161,41.511978,-90.51430099999999,2000-01-01,NA,NA,Illinois,Rock Island,Moline,NA,NA,Parts per million,0.0327284610123119,Parts per billion,2.4763914746777163,18.666666666666668
17,163,38.612034,-90.160477,2000-01-01,NA,NA,Illinois,Saint Clair,East Saint Louis,NA,NA,Parts per million,0.031141383904505198,Parts per billion,5.495449060296226,22
26,165,44.18089,-85.738985,2000-10-29,NA,NA,Michigan,Wexford,Not in a city,NA,NA,Parts per million,0.034408950455005055,NA,NA,22.666666666666668
17,167,39.844122,-89.604839,2000-01-01,NA,NA,Illinois,Sangamon,Springfield,NA,NA,Parts per million,0.028503489576328176,NA,NA,46.333333333333336
18,169,40.816038,-85.661408,2000-01-01,NA,NA,Indiana,Wabash,Not in a city,NA,NA,Parts per million,0.03144276592082616,NA,NA,25
18,173,37.937560999999995,-87.314173,2000-03-31,NA,NA,Indiana,Warrick,Not in a city,NA,NA,Parts per million,0.03309960228640192,NA,NA,25.5
21,175,37.9214,-83.06620000000001,2000-01-01,NA,NA,Kentucky,Morgan,Not in a city,NA,NA,Parts per million,0.03958632786885246,NA,NA,33
19,177,40.689195999999995,-91.994618,2000-03-31,NA,NA,Iowa,Van Buren,Not in a city,NA,NA,Parts per million,0.03829532558139535,NA,NA,62
37,179,34.974039,-80.540622,2000-04-01,NA,NA,North Carolina,Union,Monroe,NA,NA,Parts per million,0.03285952415458937,NA,NA,45
19,181,41.285533,-93.58398299999999,2000-03-31,NA,NA,Iowa,Warren,Not in a city,NA,NA,Parts per million,0.035986566666666664,NA,NA,31
29,183,38.872546,-90.22648799999999,2000-03-31,NA,NA,Missouri,Saint Charles,West Alton,NA,NA,Parts per million,0.03845251706404862,NA,NA,22
21,185,38.400200000000005,-85.44427999999999,2000-02-29,NA,NA,Kentucky,Oldham,Buckner,NA,NA,Parts per million,0.0352456768558952,NA,NA,27.5
29,186,37.900839999999995,-90.42388,2000-03-31,NA,NA,Missouri,Sainte Genevieve,Not in a city,NA,NA,Parts per million,0.042176362790697676,NA,NA,19.5
47,187,35.949765,-87.138246,2000-02-08,NA,NA,Tennessee,Williamson,Fairview,NA,NA,Parts per million,0.04455419850187266,NA,NA,19
29,189,38.532779999999995,-90.38243,2000-03-31,NA,NA,Missouri,Saint Louis,Sunset Hills,NA,NA,Parts per million,0.03157032262882748,NA,NA,32
21,193,37.242039999999996,-83.181005,2000-02-29,NA,NA,Kentucky,Perry,Hazard,NA,NA,Parts per million,0.025442319838056678,NA,NA,9
20,195,38.770081,-99.763424,2000-04-12,NA,NA,Kansas,Trego,Not in a city,NA,NA,Parts per million,0.0350713126252505,NA,NA,47
17,197,41.575739999999996,-88.055148,2000-01-01,NA,NA,Illinois,Will,Not in a city,NA,NA,Parts per million,0.028643407407407406,NA,NA,14.666666666666666
21,199,37.09798,-84.61152,2000-02-29,NA,NA,Kentucky,Pulaski,Somerset,NA,NA,Parts per million,0.043105023148148146,NA,NA,39
17,201,42.287189999999995,-89.077005,2000-01-01,NA,NA,Illinois,Winnebago,Rockford,NA,NA,Parts per million,0.02439050999030068,NA,NA,28
13,213,34.785219,-84.626423,2000-03-21,NA,NA,Georgia,Murray,Chatsworth,NA,NA,Parts per million,0.0420836511627907,NA,NA,47
13,215,32.521271999999996,-84.94463499999999,2000-02-29,NA,NA,Georgia,Muscogee,Columbus,NA,NA,Parts per million,0.02961958997534922,NA,NA,26
21,221,36.901441,-88.013634,2000-04-18,NA,NA,Kentucky,Trigg,Not in a city,NA,NA,Parts per million,0.03695232996207332,NA,NA,45
13,223,33.9285,-85.04534,2000-02-29,NA,NA,Georgia,Paulding,Not in a city,NA,NA,Parts per million,0.044397362499999996,NA,NA,23.5
21,227,37.035438,-86.25062799999999,2000-02-29,NA,NA,Kentucky,Warren,Oakland,NA,NA,Parts per million,0.03168064112903226,NA,NA,31.5
21,229,37.7046,-85.0485,2000-01-01,NA,NA,Kentucky,Washington,Not in a city,NA,NA,Parts per million,0.03898724407252441,NA,NA,32
13,231,33.1787,-84.40520000000001,2000-01-01,NA,NA,Georgia,Pike,Not in a city,NA,NA,Parts per million,0.03854945588235294,NA,NA,35
