State.Code,County.Code,Latitude,Longitude,Date.Local,CO.Units,CO.Mean,State.Name,County.Name,City.Name,NO2.Units,NO2.Mean,Ozone.Units,Ozone.Mean,SO2.Units,SO2.Mean,AQI
40,109,35.50307,-97.577981,2020-01-01,Parts per million,0.3879388621794872,Oklahoma,Oklahoma,Oklahoma City,Parts per billion,8.440904544444445,NA,NA,NA,NA,10.666666666666666
48,113,32.820060999999995,-96.860117,2020-01-01,Parts per million,0.24153642857142857,Texas,Dallas,Dallas,NA,NA,NA,NA,NA,NA,20.333333333333332
5,119,34.756189,-92.281296,2020-01-01,Parts per million,0.2695977070254111,Arkansas,Pulaski,North Little Rock,Parts per billion,8.589726772727273,Parts per million,0.028551515596330273,NA,NA,17.666666666666668
13,121,33.778400000000005,-84.3914,2020-01-01,Parts per million,0.5573229834710743,Georgia,Fulton,Atlanta,Parts per billion,11.72594621978022,NA,NA,NA,NA,18.666666666666668
8,123,40.386368,-104.73743999999999,2020-01-01,Parts per million,0.24909819834710742,Colorado,Weld,Greeley,NA,NA,Parts per million,0.02844122330097087,NA,NA,38
39,135,39.83562,-84.720524,2020-01-01,Parts per million,0.15666156284153004,Ohio,Preble,New Paris,NA,NA,Parts per million,0.026499571428571428,Parts per billion,0.284476489010989,15
48,141,31.768286,-106.501243,2020-01-01,Parts per million,0.3556135935828877,Texas,El Paso,El Paso,NA,NA,NA,NA,NA,NA,12.666666666666666
40,143,36.204902,-95.976537,2020-01-01,Parts per million,0.23357958469945356,Oklahoma,Tulsa,Tulsa,NA,NA,NA,NA,NA,NA,15.333333333333334
18,163,37.97768,-87.596836,2020-01-01,Parts per million,0.22006395054945055,Indiana,Vanderburgh,Evansville,NA,NA,NA,NA,NA,NA,16.666666666666668
37,183,35.856111,-78.574167,2020-01-01,Parts per million,0.26774192076502734,North Carolina,Wake,Raleigh,Parts per billion,6.448154334710743,Parts per million,0.024001944444444444,NA,NA,19.333333333333332
48,309,31.653086,-97.07070399999999,2020-01-01,Parts per million,0.18342407936507937,Texas,McLennan,Waco,NA,NA,Parts per million,0.023547548387096773,Parts per billion,0.4976461451612903,15.5
48,439,32.664753,-97.33791699999999,2020-01-01,Parts per million,0.2645816507936508,Texas,Tarrant,Fort Worth,NA,NA,NA,NA,NA,NA,27.5
48,453,30.353859999999997,-97.69166,2020-01-01,Parts per million,0.2981950655737705,Texas,Travis,Austin,NA,NA,NA,NA,NA,NA,14.333333333333334
48,479,27.517456,-99.515222,2020-01-01,Parts per million,0.2429046349206349,Texas,Webb,Laredo,NA,NA,NA,NA,NA,NA,18
22,5,30.229653,-90.965628,2020-01-01,NA,NA,Louisiana,Ascension,Not in a city,Parts per billion,11.155755650957289,NA,NA,NA,NA,19
25,9,42.474641999999996,-70.970816,2020-01-01,NA,NA,Massachusetts,Essex,Lynn,Parts per billion,4.68879037962963,NA,NA,NA,NA,17.666666666666668
23,11,44.230622,-69.785,2020-01-01,NA,NA,Maine,Kennebec,Gardiner,Parts per billion,11.464393523809523,NA,NA,NA,NA,17.5
25,15,42.298493,-72.334079,2020-01-01,NA,NA,Massachusetts,Hampshire,Ware (census name for Ware Center),Parts per billion,5.2315217417218545,NA,NA,NA,NA,10
25,17,42.612085,-71.306986,2020-01-01,NA,NA,Massachusetts,Middlesex,Chelmsford (Chelmsford Center),Parts per billion,8.97395319205298,NA,NA,NA,NA,13.666666666666666
22,19,30.262604,-93.285084,2020-01-01,NA,NA,Louisiana,Calcasieu,Westlake (RR name West Lake),Parts per billion,5.406352026217228,NA,NA,NA,NA,5.333333333333333
25,21,42.211774,-71.11397,2020-01-01,NA,NA,Massachusetts,Norfolk,Milton,Parts per billion,6.257091138121547,NA,NA,NA,NA,12.333333333333334
25,25,42.348873,-71.097163,2020-01-01,NA,NA,Massachusetts,Suffolk,Boston,Parts per billion,11.939549376383763,NA,NA,Parts per billion,0.6340227938388625,14.333333333333334
5,35,35.197288,-90.193141,2020-01-01,NA,NA,Arkansas,Crittenden,Marion,Parts per billion,13.615605664150943,Parts per million,0.02856937046413502,NA,NA,18
56,39,44.373056,-110.830833,2020-01-01,NA,NA,Wyoming,Teton,Not in a city,Parts per billion,1.2834476166666666,NA,NA,NA,NA,11
35,45,36.035000000000004,-107.904167,2020-01-01,NA,NA,New Mexico,San Juan,Not in a city,Parts per billion,4.933598339887641,NA,NA,NA,NA,12.666666666666666
22,47,30.221255,-91.315418,2020-01-01,NA,NA,Louisiana,Iberville,Not in a city,Parts per billion,4.515614015228426,NA,NA,NA,NA,20
22,51,30.041238,-90.272826,2020-01-01,NA,NA,Louisiana,Jefferson,Kenner,Parts per billion,5.362585315217391,NA,NA,NA,NA,24.333333333333332
38,53,47.5812,-103.29950000000001,2020-01-01,NA,NA,North Dakota,McKenzie,Not in a city,Parts per billion,4.094146366255144,Parts per million,0.03390084558823529,Parts per billion,0.7388173936464089,10.333333333333334
36,55,43.145013,-77.55727999999999,2020-01-01,NA,NA,New York,Monroe,Rochester,Parts per billion,7.100342967032967,NA,NA,NA,NA,13.333333333333334
38,57,47.298611,-101.766944,2020-01-01,NA,NA,North Dakota,Mercer,Not in a city,Parts per billion,7.880940736040609,NA,NA,Parts per billion,0.7100353341836735,13.666666666666666
8,59,39.912799,-105.188587,2020-01-01,NA,NA,Colorado,Jefferson,Not in a city,Parts per billion,3.9071593509933775,NA,NA,NA,NA,14.333333333333334
39,61,39.128859999999996,-84.50403999999999,2020-01-01,NA,NA,Ohio,Hamilton,Cincinnati,Parts per billion,13.904616885057472,NA,NA,NA,NA,12.666666666666666
22,63,30.315406,-90.81138299999999,2020-01-01,NA,NA,Louisiana,Livingston,French Settlement,Parts per billion,2.0217476588235295,NA,NA,NA,NA,13
6,65,33.944713,-116.830074,2020-01-01,NA,NA,California,Riverside,Banning,Parts per billion,2.352326058252427,NA,NA,NA,NA,14
8,67,37.303889999999996,-107.484167,2020-01-01,NA,NA,Colorado,La Plata,Not in a city,Parts per billion,1.2817238387096774,Parts per million,0.02925052380952381,NA,NA,13.666666666666666
30,75,45.440295,-105.370283,2020-01-01,NA,NA,Montana,Powder River,Not in a city,Parts per billion,0.9385534166666667,NA,NA,NA,NA,9
6,79,35.49453,-120.66617,2020-01-01,NA,NA,California,San Luis Obispo,Atascadero,Parts per billion,4.073409950819672,NA,NA,NA,NA,12.666666666666666
30,87,45.366150999999995,-106.48982,2020-01-01,NA,NA,Montana,Rosebud,Not in a city,Parts per billion,0.6483809166666666,NA,NA,NA,NA,18
38,101,47.940861,-101.571583,2020-01-01,NA,NA,North Dakota,Ward,Not in a city,Parts per billion,1.9475587088607595,NA,NA,NA,NA,13
8,103,40.086943999999995,-108.761389,2020-01-01,NA,NA,Colorado,Rio Blanco,Rangely,Parts per billion,4.784005290322581,Parts per million,0.03127772039473684,NA,NA,13
6,111,34.276316,-118.683685,2020-01-01,NA,NA,California,Ventura,Simi Valley,Parts per billion,6.260474796610169,NA,NA,NA,NA,19.666666666666668
48,113,32.919205999999996,-96.808498,2020-01-01,NA,NA,Texas,Dallas,Dallas,Parts per billion,10.440489043010752,NA,NA,NA,NA,20.333333333333332
17,117,39.396074999999996,-89.809739,2020-01-01,NA,NA,Illinois,Macoupin,Nilwood,Parts per billion,2.6253821999999998,NA,NA,NA,NA,11
37,131,36.511708,-77.655389,2020-01-01,NA,NA,North Carolina,Northampton,Gaston,Parts per billion,1.7711738255813954,NA,NA,NA,NA,1
48,139,32.482082999999996,-97.026899,2020-01-01,NA,NA,Texas,Ellis,Midlothian,Parts per billion,5.186745698113207,Parts per million,0.022857016393442623,NA,NA,12.666666666666666
18,141,41.69666,-86.214722,2020-01-01,NA,NA,Indiana,St. Joseph,South Bend,Parts per billion,15.431336983333333,NA,NA,NA,NA,12.666666666666666
